ENSECAT00000013004.1	SYCE1
ENSECAT00000020809.1	CYP2E1
ENSECAT00000000129.1	PAOX
ENSECAT00000013377.1	ECHS1
ENSECAT00000018606.1	FUOM
ENSECAT00000002169.1	PRAP1
ENSECAT00000018616.1	CALY
ENSECAT00000019666.1	ZNF511
ENSECAT00000019978.1	TUBGCP2
ENSECAT00000021637.1	KNDC1
ENSECAT00000000064.1	ADGRA1
ENSECAT00000007217.1	CFAP46
ENSECAT00000017138.1	INPP5A
ENSECAT00000002234.1	PWWP2B
ENSECAT00000000642.1	LRRC27
ENSECAT00000009655.1	STK32C
ENSECAT00000018621.1	DPYSL4
ENSECAT00000016543.1	JAKMIP3
ENSECAT00000018629.1	BNIP3
ENSECAT00000026311.1	PPP2R2D
ENSECAT00000026901.1	TCERG1L
ENSECAT00000000264.1	GLRX3
ENSECAT00000028841.1	MGMT
ENSECAT00000010040.1	PTPRE
ENSECAT00000010165.1	PTPRE
ENSECAT00000025468.1	CLRN3
ENSECAT00000005010.1	FAM196A
ENSECAT00000010343.1	C10orf90
ENSECAT00000013558.1	ADAM12
ENSECAT00000006911.1	FANK1
ENSECAT00000015297.1	DHX32
ENSECAT00000012838.1	BCCIP
ENSECAT00000018506.1	UROS
ENSECAT00000000127.1	MMP21
ENSECAT00000000842.1	EDRF1
ENSECAT00000021648.1	TEX36
ENSECAT00000028637.1	U6
ENSECAT00000024259.1	CTBP2
ENSECAT00000018759.1	ZRANB1
ENSECAT00000025029.1	FAM175B
ENSECAT00000007915.1	FAM53B
ENSECAT00000007942.1	FAM53B
ENSECAT00000010323.1	LHPP
ENSECAT00000015791.1	OAT
ENSECAT00000023532.1	CHST15
ENSECAT00000026609.1	CPXM2
ENSECAT00000008391.1	GPR26
ENSECAT00000010297.1	BUB3
ENSECAT00000013146.1	HMX2
ENSECAT00000014434.1	HMX3
ENSECAT00000007095.1	IKZF5
ENSECAT00000011596.1	PSTK
ENSECAT00000015678.1	CUZD1
ENSECAT00000002103.1	C10orf120
ENSECAT00000005542.1	DMBT1
ENSECAT00000010327.1	HTRA1
ENSECAT00000009136.1	BTBD16
ENSECAT00000019763.1	TACC2
ENSECAT00000019775.1	TACC2
ENSECAT00000019781.1	TACC2
ENSECAT00000017711.1	NSMCE4A
ENSECAT00000012836.1	ATE1
ENSECAT00000015704.1	FGFR
ENSECAT00000015803.1	FGFR
ENSECAT00000015845.1	FGFR
ENSECAT00000021492.1	WDR11
ENSECAT00000021574.1	WDR11
ENSECAT00000028451.1	U6
ENSECAT00000025215.1	PPAPDC1A
ENSECAT00000001244.1	SEC23IP
ENSECAT00000016034.1	MCMBP
ENSECAT00000015992.1	INPP5F
ENSECAT00000027254.1	eca-mir-1244
ENSECAT00000005416.1	BAG3
ENSECAT00000010811.1	TIAL1
ENSECAT00000025288.1	RGS10
ENSECAT00000025701.1	GRK5
ENSECAT00000018231.1	PRDX3
ENSECAT00000012720.1	SFXN4
ENSECAT00000014441.1	FAM45A
ENSECAT00000023600.1	EIF3A
ENSECAT00000028663.1	SNORA19
ENSECAT00000028439.1	SNORA19
ENSECAT00000003494.1	NANOS1
ENSECAT00000013781.1	CACUL1
ENSECAT00000003612.1	PRLHR
ENSECAT00000020131.1	FAM204A
ENSECAT00000021006.1	RAB11FIP2
ENSECAT00000022487.1	EMX2
ENSECAT00000025154.1	PDZD8
ENSECAT00000026033.1	SLC18A2
ENSECAT00000024269.1	KCNK18
